2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 289 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 325 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 319 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 409 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 378 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 366 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 395 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 284 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 390 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 254 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 397 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 291 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 311 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 341 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 361 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 301 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 329 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 429 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 339 ms to scan 1 urls, producing 15 keys and 294 values
2024-10-22 13:48:50 INFO  org.reflections.Reflections:219 - Reflections took 405 ms to scan 1 urls, producing 15 keys and 294 values
